index;value
1478;263
1478;264
1479;265
1479;267
1480;269
1480;270
1481;272
1481;273
1482;274
1482;275
1483;276
1483;276
1484;276
1484;276
1485;276
1485;275
1486;274
1486;273
1487;272
1487;271
1488;270
1488;269
1489;267
1489;266
1490;265
1490;263
1491;262
1491;261
1492;260
1492;259
1494;258
1494;258
1495;257
1495;257
1496;257
1496;257
1497;257
1497;258
1498;259
1498;260
1499;262
1499;263
1500;265
1500;266
1501;268
1501;269
1502;270
1502;272
1503;273
1503;274
1504;274
1504;274
1505;275
1505;274
1506;273
1506;272
1507;271
1507;270
1508;269
1508;268
1509;267
1509;265
1510;264
1510;263
1511;262
1511;261
1512;259
1512;258
1513;258
1513;257
1514;256
1514;256
1515;256
1515;256
1516;255
1516;256
1517;257
1517;258
1518;259
1518;260
1519;262
1519;263
1520;265
1520;267
1521;268
1521;270
1522;271
1522;272
1523;273
1523;273
1524;274
1524;274
1525;273
1525;273
