t;emg
2160;747
2161;747
2162;747
2163;747
2164;747
2165;747
2166;747
2167;747
2168;747
2169;747
2170;747
2171;747
2172;747
2173;747
2174;747
2175;747
2176;747
2177;747
2178;747
2179;746
2180;747
2181;747
2182;747
2183;746
2184;747
2185;747
2186;746
2187;747
2188;746
2189;746
2190;747
2191;746
2192;747
2193;747
2194;747
2195;747
2196;747
2197;747
2198;747
2199;747
2200;747
2201;746
2202;747
2203;747
2204;747
2205;747
2206;747
2207;747
2208;747
2209;747
2210;747
2211;747
2212;747
2213;747
2214;747
2215;747
2216;747
2217;747
2218;747
2219;747
2220;747
2221;747
2222;747
2223;747
2224;747
2225;747
2226;747
2227;747
2228;747
2229;747
2230;747
2231;747
2232;747
2233;747
2234;747
2235;747
2236;747
2237;747
2238;747
2239;747
2240;747
2241;747
2242;746
2243;747
2244;747
2245;747
2246;747
2247;747
2248;747
2249;746
2250;747
2251;747
2252;747
2253;746
2254;747
2255;747
2256;746
2257;747
2258;746
2259;747
2260;747
2261;746
2262;747
2263;747
2264;747
2265;747
2266;747
2267;747
2268;747
2269;747
2270;747
2271;747
2272;747
2273;747
2274;747
2275;747
2276;747
2277;747
2278;747
2279;747
2280;747
2281;747
2282;747
2283;747
2284;747
2285;747
2286;747
2287;747
2288;747
2289;747
2290;747
2291;747
2292;746
2293;747
2294;746
2295;747
2296;747
2297;747
2298;747
2299;747
2300;747
2301;747
2302;747
2303;747
2304;747
2305;747
2306;746
2307;747
2308;747
2309;747
2310;746
2311;747
2312;746
2313;747
2314;747
2315;747
2316;747
2317;747
2318;747
2319;747
2320;747
2321;747
2322;747
2323;747
2324;747
2325;747
2326;747
2327;747
2328;747
2329;747
2330;747
2331;747
2332;747
2333;747
2334;747
2335;747
2336;747
2337;747
2338;747
2339;747
2340;747
2341;747
2342;747
2343;747
2344;747
2345;747
2346;747
2347;747
2348;747
2349;747
2350;747
2351;747
2352;747
2353;747
2354;747
2355;747
2356;747
2357;747
2358;747
2359;747
2360;747
2361;747
2362;747
2363;747
2364;747
2365;747
2366;747
2367;747
2368;747
2369;747
2370;747
2371;747
2372;747
2373;747
2374;747
2375;747
2376;747
2377;747
2378;747
2379;747
2380;747
2381;747
2382;747
2383;747
2384;747
2385;747
2386;747
2387;747
2388;747
2389;747
2390;747
2391;747
2392;747
2393;747
2394;747
2395;747
2396;747
2397;747
2398;747
2399;747
2400;747
2401;747
2402;747
2403;747
2404;747
2405;747
2406;747
2407;747
2408;747
2409;747
2410;747
2411;747
2412;747
2413;747
2414;747
2415;747
2416;747
2417;747
2418;747
2419;747
2420;747
2421;747
2422;747
2423;747
2424;747
2425;747
2426;747
2427;747
2428;747
2429;747
2430;747
2431;747
2432;747
2433;747
2434;747
2435;747
2436;747
2437;747
2438;747
2439;747
2440;747
2441;747
2442;747
2443;747
2444;747
2445;747
2446;747
2447;747
2448;747
2449;747
2450;747
2451;747
2452;748
2453;747
2454;747
2455;747
2456;747
2457;747
2458;747
2459;747
2460;747
2461;747
2462;747
2463;747
2464;747
2465;747
2466;747
2467;747
2468;747
2469;747
2470;747
2471;747
2472;747
2473;747
2474;747
2475;747
2476;747
2477;747
2478;747
2479;747
2480;747
2481;747
2482;747
2483;747
2484;747
2485;747
2486;747
2487;747
2488;747
2489;747
2490;747
2491;747
2492;748
2493;747
2494;747
2495;747
2496;747
2497;747
2498;747
2499;747
2500;747
2501;747
2502;747
2503;747
2504;747
2505;748
2506;747
2507;747
2508;747
2509;748
2510;747
2511;747
2512;747
2513;747
2514;747
2515;747
2516;747
2517;747
2518;747
2519;747
2520;747
2521;747
2522;747
2523;747
2524;747
2525;747
2526;747
2527;747
2528;747
2529;747
2530;747
2531;747
2532;747
2533;747
2534;747
2535;747
2536;747
2537;747
2538;747
2539;747
2540;747
2541;747
2542;748
2543;747
2544;747
2545;747
2546;748
2547;747
2548;747
2549;748
2550;748
2551;748
2552;748
2553;748
2554;747
2555;748
2556;748
2557;747
2558;748
2559;748
2560;748
2561;748
2562;748
2563;748
2564;747
2565;748
2566;748
2567;747
2568;747
2569;748
2570;748
2571;747
2572;747
2573;747
2574;747
2575;747
2576;747
2577;747
2578;747
2579;747
2580;747
2581;747
2582;747
2583;747
2584;747
2585;747
2586;747
2587;747
2588;747
2589;747
2590;747
2591;747
2592;747
2593;747
2594;747
2595;747
2596;747
2597;747
2598;747
2599;747
2600;747
2601;747
2602;747
2603;747
2604;747
2605;747
2606;747
